ID,Group_ID,Unit_ID,dec_deg,hourangle_east,hourangle_west
1,XL001,1,-90,-5,5
2,XL001,1,-80,-5,5
3,XL001,1,-70,-5,5
4,XL001,1,-60,-5,5
5,XL001,1,-50,-5,5
6,XL001,1,-40,-5,5
7,XL001,1,-30,-5,5
8,XL001,1,-20,-5,5
9,XL001,1,-10,-5,5
10,XL001,1,0,-5,5
11,XL001,1,10,-5,5
12,XL001,1,20,-5,5
13,XL001,1,30,-5,5
14,XL001,1,40,-5,5
15,XL001,1,50,-5,5
16,XL001,1,60,-5,5
17,XL001,1,70,-5,5
18,XL001,1,80,-5,5
19,XL001,2,-90,0,0
20,XL001,2,-80,0,0
21,XL001,2,-70,0,0
22,XL001,2,-60,0,0
23,XL001,2,-50,0,0
24,XL001,2,-40,0,0
25,XL001,2,-30,-0.5,0.5
26,XL001,2,-20,-2.5,1.5
27,XL001,2,-10,-3.5,1.5
28,XL001,2,0,-4,2.0
29,XL001,2,10,-4.5,3
30,XL001,2,20,-5,4
31,XL001,2,30,-5.5,4
32,XL001,2,40,-6,4
33,XL001,2,50,-6.5,4
34,XL001,2,60,-6.5,4
35,XL001,2,70,-7,4
36,XL001,2,80,-7,4
37,XL001,3,-90,-4,4
38,XL001,3,-80,-4,4
39,XL001,3,-70,-4,4
40,XL001,3,-60,-4,4
41,XL001,3,-50,-4,4
42,XL001,3,-40,-4,4
43,XL001,3,-30,-4,4
44,XL001,3,-20,-4,4
45,XL001,3,-10,-4,4
46,XL001,3,0,-4,4
47,XL001,3,10,-4,4
48,XL001,3,20,-4,4
49,XL001,3,30,-4,4
50,XL001,3,40,-4,4
51,XL001,3,50,-4,4
52,XL001,3,60,-4,4
53,XL001,3,70,-4,4
54,XL001,3,80,-4,4
55,XL001,4,-90,0,0
56,XL001,4,-80,0,0
57,XL001,4,-70,0,0
58,XL001,4,-60,0,0
59,XL001,4,-50,0,0
60,XL001,4,-40,0,0
61,XL001,4,-30,-0.5,0.5
62,XL001,4,-20,-2.5,1.5
63,XL001,4,-10,-3.5,1.5
64,XL001,4,0,-4,2.0
65,XL001,4,10,-4.5,3
66,XL001,4,20,-5,4
67,XL001,4,30,-5.5,4
68,XL001,4,40,-6,4
69,XL001,4,50,-6.5,4
70,XL001,4,60,-6.5,4
71,XL001,4,70,-7,4
72,XL001,4,80,-7,4
73,XL001,5,-90,-4,4
74,XL001,5,-80,-4,4
75,XL001,5,-70,-4,4
76,XL001,5,-60,-4,4
77,XL001,5,-50,-4,4
78,XL001,5,-40,-4,4
79,XL001,5,-30,-4,4
80,XL001,5,-20,-4,4
81,XL001,5,-10,-4,4
82,XL001,5,0,-4,4
83,XL001,5,10,-4,4
84,XL001,5,20,-4,4
85,XL001,5,30,-4,4
86,XL001,5,40,-4,4
87,XL001,5,50,-4,4
88,XL001,5,60,-4,4
89,XL001,5,70,-4,4
90,XL001,5,80,-4,4
91,XL001,6,-90,-4,4
92,XL001,6,-80,-4,4
93,XL001,6,-70,-4,4
94,XL001,6,-60,-4,4
95,XL001,6,-50,-4,4
96,XL001,6,-40,-4,4
97,XL001,6,-30,-4,4
98,XL001,6,-20,-4,4
99,XL001,6,-10,-4,4
100,XL001,6,0,-4,4
101,XL001,6,10,-4,4
102,XL001,6,20,-4,4
103,XL001,6,30,-4,4
104,XL001,6,40,-4,4
105,XL001,6,50,-4,4
106,XL001,6,60,-4,4
107,XL001,6,70,-4,4
108,XL001,6,80,-4,4
109,XL002,1,-90,-6,6
110,XL002,1,-80,-6,6
111,XL002,1,-70,-6,6
112,XL002,1,-60,-6,6
113,XL002,1,-50,-6,6
114,XL002,1,-40,-6,6
115,XL002,1,-30,-6,6
116,XL002,1,-20,-6,6
117,XL002,1,-10,-6,6
118,XL002,1,0,-6,6
119,XL002,1,10,-6,6
120,XL002,1,20,-6,6
121,XL002,1,30,-6,6
122,XL002,1,40,-6,6
123,XL002,1,50,-6,6
124,XL002,1,60,-6,6
125,XL002,1,70,-6,6
126,XL002,1,80,-6,6
127,XL002,2,-90,-6,6
128,XL002,2,-80,-6,6
129,XL002,2,-70,-6,6
130,XL002,2,-60,-6,6
131,XL002,2,-50,-6,6
132,XL002,2,-40,-6,6
133,XL002,2,-30,-6,6
134,XL002,2,-20,-6,6
135,XL002,2,-10,-6,6
136,XL002,2,0,-6,6
137,XL002,2,10,-6,6
138,XL002,2,20,-6,6
139,XL002,2,30,-6,6
140,XL002,2,40,-6,6
141,XL002,2,50,-6,6
142,XL002,2,60,-6,6
143,XL002,2,70,-6,6
144,XL002,2,80,-6,6
145,XL003,1,-90,-6,6
146,XL003,1,-80,-6,6
147,XL003,1,-70,-6,6
148,XL003,1,-60,-6,6
149,XL003,1,-50,-6,6
150,XL003,1,-40,-6,6
151,XL003,1,-30,-6,6
152,XL003,1,-20,-6,6
153,XL003,1,-10,-6,6
154,XL003,1,0,-6,6
155,XL003,1,10,-6,6
156,XL003,1,20,-6,6
157,XL003,1,30,-6,6
158,XL003,1,40,-6,6
159,XL003,1,50,-6,6
160,XL003,1,60,-6,6
161,XL003,1,70,-6,6
162,XL003,1,80,-6,6